data_type,linear_full_posterior,neural_bandit,neural_linear,uniform
adult,68.0,282.0,95.0,251.0
linear,170.04956439568994,524.34077938599,518.8659114558018,701.5455797097269
mushroom,455.0,1415.0,1325.0,2650.0
sparse_linear,134.1602733631166,381.07276386665956,389.30868003134515,598.7418939944296
statlog,203.0,194.0,352.0,431.0
wheel,1673.687638770618,972.628520442097,1351.8667697493484,1834.8945339325214
