data_type,linear_full_posterior,neural_bandit,neural_linear,uniform
adult,0.864,0.436,0.81,0.498
linear,1.0471196193327916,0.3385371893521915,0.3494869252125681,-0.01587241129528223
mushroom,1.52,-0.4,-0.22,-2.87
sparse_linear,0.9124939446763607,0.4186689636692751,0.40219713133990365,-0.016669296586265078
statlog,0.594,0.612,0.296,0.138
wheel,2.14734347909931,3.5494617157563515,2.7909852171418494,1.8249296887755027
